zone,nov. 2016,déc. 2016,jan. 2017,fév. 2017,mars 2017,avr. 2017,mai 2017,juin 2017,juil. 2017,août 2017,sept. 2017,oct. 2017,nov. 2017,déc. 2017,jan. 2018,fév. 2018,mars 2018
Hors zones,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Sud-Ouest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,2,4
Bretagne Sud,2,0,0,97,24,8,7,4,11,8,4,54,2,4,17,32,55
Bretagne Ouest,0,0,1,18,1,7,1,0,0,3,0,0,1,0,10,3,9
Bretagne Nord,0,0,0,0,2,1,1,0,0,0,0,0,0,0,2,0,0
Cotentin Ouest,0,0,1,0,3,2,0,0,0,0,0,0,0,0,1,0,0
Nord de la Seine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manche Est,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mer du Nord,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seine aval,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Royaume Uni,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Europe du Nord,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Espagne et Portugal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Açores,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ouest Afrique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amérique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0